dataset_doi,interactions,ml_het,hierarchical,variant,any_het,year,deposit_year
doi:10.7910/DVN/29098,FALSE,FALSE,FALSE,as_published,FALSE,2015,2015
doi:10.7910/DVN/29101,FALSE,FALSE,TRUE,as_published,TRUE,2015,2015
doi:10.7910/DVN/29108,TRUE,FALSE,FALSE,as_published,TRUE,2015,2015
doi:10.7910/DVN/29117,FALSE,FALSE,FALSE,as_published,FALSE,2015,2015
doi:10.7910/DVN/29129,FALSE,FALSE,FALSE,as_published,FALSE,2015,2015
doi:10.7910/DVN/29179,FALSE,FALSE,FALSE,as_published,FALSE,2015,2015
doi:10.7910/DVN/29205,TRUE,FALSE,TRUE,as_published,TRUE,2015,2015
doi:10.7910/DVN/29242,TRUE,FALSE,FALSE,as_published,TRUE,2015,2015
doi:10.7910/DVN/29286,TRUE,FALSE,FALSE,as_published,TRUE,2015,2015
doi:10.7910/DVN/29314,FALSE,FALSE,TRUE,as_published,TRUE,2015,2015
doi:10.7910/DVN/29375,FALSE,FALSE,TRUE,as_published,TRUE,2015,2015
doi:10.7910/DVN/29379,TRUE,FALSE,TRUE,as_published,TRUE,2015,2015
doi:10.7910/DVN/29405,TRUE,FALSE,TRUE,as_published,TRUE,2015,2015
doi:10.7910/DVN/29427,TRUE,FALSE,TRUE,as_published,TRUE,2015,2015
doi:10.7910/DVN/29487,TRUE,FALSE,FALSE,as_published,TRUE,2015,2015
doi:10.7910/DVN/29566,TRUE,FALSE,TRUE,as_published,TRUE,2015,2015
doi:10.7910/DVN/29591,FALSE,FALSE,FALSE,as_published,FALSE,2015,2015
doi:10.7910/DVN/29743,FALSE,FALSE,FALSE,as_published,FALSE,2015,2015
doi:10.7910/DVN/29911,FALSE,FALSE,TRUE,as_published,TRUE,2015,2020
doi:10.7910/DVN/2CITBJ,TRUE,FALSE,TRUE,as_published,TRUE,2020,2020
doi:10.7910/DVN/2CLJPA,TRUE,FALSE,TRUE,as_published,TRUE,2019,2019
doi:10.7910/DVN/2CS1VF,TRUE,FALSE,TRUE,as_published,TRUE,2018,2018
doi:10.7910/DVN/2CVG5E,TRUE,FALSE,TRUE,as_published,TRUE,2024,2024
doi:10.7910/DVN/2DCQZV,TRUE,FALSE,FALSE,as_published,TRUE,2020,2020
doi:10.7910/DVN/2E2M9Z,TRUE,FALSE,TRUE,as_published,TRUE,2018,2018
doi:10.7910/DVN/2E4MOZ,TRUE,FALSE,TRUE,as_published,TRUE,2023,2023
doi:10.7910/DVN/2IFZR9,FALSE,FALSE,FALSE,as_published,FALSE,2022,2022
doi:10.7910/DVN/2IVKXD,FALSE,FALSE,FALSE,as_published,FALSE,2021,2021
doi:10.7910/DVN/2JKWNS,TRUE,FALSE,TRUE,as_published,TRUE,2021,2021
doi:10.7910/DVN/2JVEEE,FALSE,FALSE,FALSE,as_published,FALSE,2016,2016
doi:10.7910/DVN/2KAQO1,TRUE,FALSE,TRUE,as_published,TRUE,2024,2024
doi:10.7910/DVN/2LH0BZ,TRUE,FALSE,TRUE,as_published,TRUE,2021,2021
