"ID","choice_pre","choice_post","approval","democratic","knowledge","L1","L2","L3","M1","M2","M3","monthly_income","left_right","important_democracy","age_group","behavior","scenario","copartisan_support_pre","copartisan_support_post","outpartisan_support_pre","outpartisan_support_post","copartisan_shift","outpartisan_shift","switch_outpartisan","switch_abstain","inparty_strength","outparty_strength"
764,"Civic Coalition (KO)","Civic Coalition (KO)",5,5,"unknowledgeable",7,7,7,1,1,2,2,5,7,5,"democratic","win",7,7,1,1,0,0,0,0,5,1
765,"Law and Justice (PiS)","Law and Justice (PiS)",6,6,"knowledgeable",6,6,6,5,5,4,4,5,6,3,"democratic","lose",7,7,1,1,0,0,0,0,5,1
766,"Civic Coalition (KO)","Civic Coalition (KO)",5,5,"knowledgeable",6,6,7,6,3,6,6,5,6,5,"democratic","win",7,6,1,1,-1,0,0,0,6,1
768,"Civic Coalition (KO)","Civic Coalition (KO)",2,3,"knowledgeable",6,6,6,3,4,3,2,3,6,3,"undemocratic","win",6,6,2,2,0,0,0,0,5,1
769,"Law and Justice (PiS)","Law and Justice (PiS)",1,1,"knowledgeable",1,6,7,3,6,6,4,4,6,4,"undemocratic","lose",7,7,1,1,0,0,0,0,7,2
770,"Civic Coalition (KO)","Civic Coalition (KO)",4,4,"unknowledgeable",5,5,4,4,4,4,4,5,4,2,"undemocratic","win",7,7,2,1,0,-1,0,0,5,1
772,"Civic Coalition (KO)","Civic Coalition (KO)",7,6,"knowledgeable",7,6,7,7,6,6,5,4,7,4,"democratic","lose",6,6,1,1,0,0,0,0,4,1
773,"Law and Justice (PiS)","Law and Justice (PiS)",7,6,"knowledgeable",7,7,7,5,7,6,5,7,7,5,"undemocratic","lose",7,7,1,1,0,0,0,0,7,1
774,"Civic Coalition (KO)","Civic Coalition (KO)",5,3,"knowledgeable",4,4,4,5,4,4,4,4,7,3,"undemocratic","win",7,7,1,1,0,0,0,0,6,1
775,"Law and Justice (PiS)","Law and Justice (PiS)",5,5,"unknowledgeable",5,5,5,1,2,5,4,5,4,2,"democratic","win",7,4,3,6,-3,3,0,0,6,4
777,"Civic Coalition (KO)","Civic Coalition (KO)",3,4,"knowledgeable",7,7,7,4,6,4,3,2,7,4,"undemocratic","lose",6,6,1,1,0,0,0,0,5,1
778,"Civic Coalition (KO)","Civic Coalition (KO)",1,1,"knowledgeable",7,7,7,4,4,2,4,3,7,5,"undemocratic","win",7,7,1,1,0,0,0,0,7,1
779,"Civic Coalition (KO)","Civic Coalition (KO)",6,5,"knowledgeable",5,5,5,4,5,4,5,4,5,2,"democratic","lose",6,6,5,5,0,0,0,0,4,3
781,"Civic Coalition (KO)","Civic Coalition (KO)",1,2,"knowledgeable",7,7,7,7,7,1,2,3,7,4,"democratic","win",7,1,1,1,-6,0,0,0,7,1
782,"Civic Coalition (KO)","Civic Coalition (KO)",4,4,"unknowledgeable",4,5,6,5,5,4,1,3,4,2,"democratic","win",7,7,1,1,0,0,0,0,7,1
783,"Civic Coalition (KO)","Civic Coalition (KO)",4,4,"knowledgeable",6,5,6,6,6,7,3,3,6,5,"undemocratic","lose",7,7,1,1,0,0,0,0,5,1
784,"Law and Justice (PiS)","Law and Justice (PiS)",4,4,"unknowledgeable",5,4,5,5,4,4,2,4,4,2,"undemocratic","win",4,4,4,4,0,0,0,0,5,4
785,"Law and Justice (PiS)","Law and Justice (PiS)",7,7,"knowledgeable",7,7,7,7,6,7,NA,4,6,4,"democratic","lose",7,7,1,1,0,0,0,0,6,1
786,"Civic Coalition (KO)","Civic Coalition (KO)",3,4,"unknowledgeable",3,4,4,4,4,4,3,3,3,2,"undemocratic","lose",4,5,4,3,1,-1,0,0,4,1
787,"Civic Coalition (KO)","Civic Coalition (KO)",3,3,"unknowledgeable",5,3,2,3,3,5,2,2,7,1,"democratic","lose",5,6,1,3,1,2,0,0,5,1
789,"Civic Coalition (KO)","Civic Coalition (KO)",3,3,"knowledgeable",6,5,7,6,3,1,NA,5,6,3,"democratic","win",7,7,1,1,0,0,0,0,5,2
790,"Law and Justice (PiS)","Law and Justice (PiS)",4,5,"knowledgeable",4,4,5,4,4,4,2,2,2,2,"undemocratic","lose",7,4,1,3,-3,2,0,0,6,1
791,"Civic Coalition (KO)","Civic Coalition (KO)",6,4,"knowledgeable",7,6,5,4,5,3,5,4,6,3,"democratic","lose",6,6,2,2,0,0,0,0,5,1
792,"Law and Justice (PiS)","Law and Justice (PiS)",5,4,"knowledgeable",7,5,6,5,4,5,4,6,7,2,"democratic","lose",6,7,5,5,1,0,0,0,6,2
793,"Law and Justice (PiS)","Law and Justice (PiS)",4,3,"knowledgeable",5,4,3,4,5,6,5,4,4,3,"undemocratic","win",6,6,5,5,0,0,0,0,5,2
794,"Law and Justice (PiS)","Law and Justice (PiS)",4,5,"knowledgeable",6,5,6,4,5,3,6,4,6,3,"democratic","win",6,6,2,3,0,1,0,0,4,2
795,"Civic Coalition (KO)","Civic Coalition (KO)",4,4,"knowledgeable",5,4,4,4,4,4,4,1,6,4,"undemocratic","lose",6,6,1,1,0,0,0,0,5,1
797,"Civic Coalition (KO)","Civic Coalition (KO)",6,4,"unknowledgeable",7,5,7,7,6,4,5,4,6,3,"undemocratic","lose",1,4,4,4,3,0,0,0,4,1
798,"Law and Justice (PiS)","Law and Justice (PiS)",6,6,"unknowledgeable",6,5,7,5,4,6,4,6,6,3,"undemocratic","win",7,7,1,1,0,0,0,0,6,1
799,"Civic Coalition (KO)","Civic Coalition (KO)",4,5,"knowledgeable",5,5,5,4,4,4,5,2,6,4,"democratic","win",7,7,1,1,0,0,0,0,4,1
800,"Civic Coalition (KO)","Civic Coalition (KO)",3,5,"knowledgeable",7,7,5,3,3,4,4,3,5,4,"democratic","lose",4,3,1,1,-1,0,0,0,4,1
801,"Civic Coalition (KO)","Civic Coalition (KO)",4,4,"knowledgeable",5,4,5,4,5,4,3,4,7,4,"undemocratic","win",6,6,2,2,0,0,0,0,4,4
802,"Civic Coalition (KO)","Civic Coalition (KO)",6,5,"knowledgeable",7,7,7,6,6,6,6,4,6,3,"democratic","lose",4,7,4,4,3,0,0,0,4,4
803,"Law and Justice (PiS)","Law and Justice (PiS)",6,6,"unknowledgeable",7,7,7,7,7,7,6,4,7,4,"undemocratic","win",7,7,6,6,0,0,0,0,7,6
807,"Civic Coalition (KO)","Civic Coalition (KO)",3,4,"knowledgeable",6,5,7,6,5,4,1,2,7,5,"undemocratic","lose",7,7,1,1,0,0,0,0,7,1
808,"Civic Coalition (KO)","Civic Coalition (KO)",5,4,"knowledgeable",5,5,5,5,5,5,NA,4,7,4,"democratic","win",7,6,1,1,-1,0,0,0,6,1
809,"Civic Coalition (KO)","Civic Coalition (KO)",4,4,"knowledgeable",7,5,7,5,6,5,6,4,7,4,"undemocratic","win",7,7,1,1,0,0,0,0,7,1
810,"Civic Coalition (KO)","Civic Coalition (KO)",4,4,"knowledgeable",3,3,3,3,7,3,4,4,6,4,"democratic","win",6,6,1,1,0,0,0,0,7,1
811,"Law and Justice (PiS)","Law and Justice (PiS)",4,4,"knowledgeable",6,5,5,5,5,4,4,5,2,5,"undemocratic","lose",6,6,1,1,0,0,0,0,5,1
812,"Civic Coalition (KO)","Civic Coalition (KO)",5,4,"unknowledgeable",1,1,1,5,6,5,5,4,7,2,"democratic","win",3,5,4,2,2,-2,0,0,4,3
813,"Civic Coalition (KO)","Civic Coalition (KO)",7,7,"knowledgeable",4,4,7,2,5,5,5,4,6,2,"democratic","lose",6,6,1,1,0,0,0,0,6,1
814,"Civic Coalition (KO)","Abstain",4,5,"unknowledgeable",4,3,2,4,5,4,3,3,6,4,"undemocratic","win",6,4,3,4,-2,1,0,1,4,1
815,"Law and Justice (PiS)","Law and Justice (PiS)",6,7,"knowledgeable",7,3,7,7,5,5,4,5,6,3,"undemocratic","lose",7,7,1,1,0,0,0,0,7,1
816,"Law and Justice (PiS)","Law and Justice (PiS)",6,5,"knowledgeable",6,5,5,5,5,5,4,6,6,4,"democratic","lose",6,6,2,2,0,0,0,0,6,3
817,"Law and Justice (PiS)","Law and Justice (PiS)",3,3,"knowledgeable",3,5,5,3,3,5,4,5,6,3,"undemocratic","lose",6,6,2,3,0,1,0,0,5,1
818,"Law and Justice (PiS)","Law and Justice (PiS)",4,1,"unknowledgeable",5,5,5,6,6,6,1,4,4,5,"democratic","lose",7,6,3,3,-1,0,0,0,5,4
819,"Civic Coalition (KO)","Civic Coalition (KO)",2,2,"knowledgeable",7,6,7,6,5,2,1,2,6,1,"democratic","win",6,6,1,2,0,1,0,0,1,1
820,"Law and Justice (PiS)","Law and Justice (PiS)",4,3,"knowledgeable",3,5,6,3,5,5,3,4,2,3,"democratic","win",5,5,5,5,0,0,0,0,3,2
821,"Law and Justice (PiS)","Law and Justice (PiS)",5,3,"knowledgeable",7,6,7,7,7,4,4,2,6,3,"undemocratic","win",7,7,2,3,0,1,0,0,7,1
